No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1.00000000,2012.91666670,32.00000000,84.87882000,10.00000000,24.98298000,121.54024000,37.90000000
2.00000000,2012.91666670,19.50000000,306.59470000,9.00000000,24.98034000,121.53951000,42.20000000
3.00000000,2013.58333330,13.30000000,561.98450000,5.00000000,24.98746000,121.54391000,47.30000000
4.00000000,2013.50000000,13.30000000,561.98450000,5.00000000,24.98746000,121.54391000,54.80000000
5.00000000,2012.83333330,5.00000000,390.56840000,5.00000000,24.97937000,121.54245000,43.10000000
6.00000000,2012.66666670,7.10000000,2175.03000000,3.00000000,24.96305000,121.51254000,32.10000000
7.00000000,2012.66666670,34.50000000,623.47310000,7.00000000,24.97933000,121.53642000,40.30000000
8.00000000,2013.41666670,20.30000000,287.60250000,6.00000000,24.98042000,121.54228000,46.70000000
9.00000000,2013.50000000,31.70000000,5512.03800000,1.00000000,24.95095000,121.48458000,18.80000000
10.00000000,2013.41666670,17.90000000,1783.18000000,3.00000000,24.96731000,121.51486000,22.10000000
11.00000000,2013.08333330,34.80000000,405.21340000,1.00000000,24.97349000,121.53372000,41.40000000
12.00000000,2013.33333330,6.30000000,90.45606000,9.00000000,24.97433000,121.54310000,58.10000000
13.00000000,2012.91666670,13.00000000,492.23130000,5.00000000,24.96515000,121.53737000,39.30000000
14.00000000,2012.66666670,20.40000000,2469.64500000,4.00000000,24.96108000,121.51046000,23.80000000
15.00000000,2013.50000000,13.20000000,1164.83800000,4.00000000,24.99156000,121.53406000,34.30000000
16.00000000,2013.58333330,35.70000000,579.20830000,2.00000000,24.98240000,121.54619000,50.50000000
17.00000000,2013.25000000,0.00000000,292.99780000,6.00000000,24.97744000,121.54458000,70.10000000
18.00000000,2012.75000000,17.70000000,350.85150000,1.00000000,24.97544000,121.53119000,37.40000000
19.00000000,2013.41666670,16.90000000,368.13630000,8.00000000,24.96750000,121.54451000,42.30000000
20.00000000,2012.66666670,1.50000000,23.38284000,7.00000000,24.96772000,121.54102000,47.70000000
21.00000000,2013.41666670,4.50000000,2275.87700000,3.00000000,24.96314000,121.51151000,29.30000000
22.00000000,2013.41666670,10.50000000,279.17260000,7.00000000,24.97528000,121.54541000,51.60000000
23.00000000,2012.91666670,14.70000000,1360.13900000,1.00000000,24.95204000,121.54842000,24.60000000
24.00000000,2013.08333330,10.10000000,279.17260000,7.00000000,24.97528000,121.54541000,47.90000000
25.00000000,2013.00000000,39.60000000,480.69770000,4.00000000,24.97353000,121.53885000,38.80000000
